question,answer,wrong_answer,A,B,C,D,statement,tf,open,LFG,MC,4_MC_L,4_MC_C,3_MC,3_MC_L,3_MC_C,2_MC,2_MC_L,2_MC_C,LFG_L,LFG_C
新生儿败血症的产时感染的途径是,黏膜破损,"['阴道细菌上行', '脐部感染', '消化道入侵']",阴道细菌上行, 脐部感染, 消化道入侵,黏膜破损,新生儿败血症的产时感染的途径是黏膜破损。,新生儿败血症的产时感染的途径是黏膜破损吗？回答'是'或者'不是'即可。,新生儿败血症的产时感染的途径是什么？,新生儿败血症的产时感染的途径是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的产时感染的途径是：A 阴道细菌上行 ，B  脐部感染 ，C  消化道入侵，D 黏膜破损。只能选择一个选项，禁止解释。,0,0.5011352478423796,请选择一个正确选项。新生儿败血症的产时感染的途径是：A 阴道细菌上行 ，B  脐部感染 ，C 黏膜破损。只能选择一个选项，禁止解释。,0,0.677276841,请选择一个正确选项。新生儿败血症的产时感染的途径是：A 阴道细菌上行 ，B 黏膜破损。只能选择一个选项，禁止解释。,0,1.0,母婴传播。,0.272772679
新生儿溶血病最常见的是,ABO血型不合,"['葡萄糖6-磷酸脱氢酶缺乏症', 'MN血型不合', 'Rh血型不合']",葡萄糖6-磷酸脱氢酶缺乏症, MN血型不合, Rh血型不合,ABO血型不合,新生儿溶血病最常见的是ABO血型不合。,新生儿溶血病最常见的是ABO血型不合吗？回答'是'或者'不是'即可。,新生儿溶血病最常见的是什么？,新生儿溶血病最常见的是什么？回答一句话即可。,请选择一个正确选项。新生儿溶血病最常见的是：A 葡萄糖6-磷酸脱氢酶缺乏症 ，B  MN血型不合 ，C  Rh血型不合，D ABO血型不合。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。新生儿溶血病最常见的是：A 葡萄糖6-磷酸脱氢酶缺乏症 ，B  MN血型不合 ，C ABO血型不合。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。新生儿溶血病最常见的是：A 葡萄糖6-磷酸脱氢酶缺乏症 ，B ABO血型不合。只能选择一个选项，禁止解释。,0,1.0,最常见的是α型溶血性贫血。,0.263674454
婴儿5个月时应添加的辅食是,强化铁的米粉,"['鱼类', '蛋类', '面']",鱼类, 蛋类, 面,强化铁的米粉,婴儿5个月时应添加的辅食是强化铁的米粉。,婴儿5个月时应添加的辅食是强化铁的米粉吗？回答'是'或者'不是'即可。,婴儿5个月时应添加的辅食是什么？,婴儿5个月时应添加的辅食是什么？回答一句话即可。,请选择一个正确选项。婴儿5个月时应添加的辅食是：A 鱼类 ，B  蛋类 ，C  面，D 强化铁的米粉。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。婴儿5个月时应添加的辅食是：A 鱼类 ，B  蛋类 ，C 强化铁的米粉。只能选择一个选项，禁止解释。,1,0.668109908,请选择一个正确选项。婴儿5个月时应添加的辅食是：A 鱼类 ，B 强化铁的米粉。只能选择一个选项，禁止解释。,1,1.0,稀粥和泥状食物。,0.255912171
新生儿败血症的感染途径最常见的为,产后感染,"['母孕期血内有细菌时经胎盘血行感染胎儿', '产时胎儿通过产道时吸入', '羊水穿刺']",母孕期血内有细菌时经胎盘血行感染胎儿, 产时胎儿通过产道时吸入, 羊水穿刺,产后感染,新生儿败血症的感染途径最常见的为产后感染。,新生儿败血症的感染途径最常见的是产后感染吗？回答'是'或者'不是'即可。,新生儿败血症的感染途径最常见的为什么？,新生儿败血症的感染途径最常见的为什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的感染途径最常见的为：A 母孕期血内有细菌时经胎盘血行感染胎儿 ，B  产时胎儿通过产道时吸入 ，C  羊水穿刺，D 产后感染。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。新生儿败血症的感染途径最常见的为：A 母孕期血内有细菌时经胎盘血行感染胎儿 ，B  产时胎儿通过产道时吸入 ，C 产后感染。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。新生儿败血症的感染途径最常见的为：A 母孕期血内有细菌时经胎盘血行感染胎儿 ，B 产后感染。只能选择一个选项，禁止解释。,0,1.0,最常见的感染途径是母婴传播。,0.263138473
子宫内膜癌的首选治疗方法是,手术治疗,"['放射治疗', '激素治疗', '化学治疗']",放射治疗, 激素治疗, 化学治疗,手术治疗,子宫内膜癌的首选治疗方法是手术治疗。,子宫内膜癌的首选治疗方法是手术治疗吗？回答'是'或者'不是'即可。,子宫内膜癌的首选治疗方法是什么？,子宫内膜癌的首选治疗方法是什么？回答一句话即可。,请选择一个正确选项。子宫内膜癌的首选治疗方法是：A 放射治疗 ，B  激素治疗 ，C  化学治疗，D 手术治疗。只能选择一个选项，禁止解释。,1,1.0,请选择一个正确选项。子宫内膜癌的首选治疗方法是：A 放射治疗 ，B  激素治疗 ，C 手术治疗。只能选择一个选项，禁止解释。,1,1.0,请选择一个正确选项。子宫内膜癌的首选治疗方法是：A 放射治疗 ，B 手术治疗。只能选择一个选项，禁止解释。,1,1.0,子宫内膜癌的首选治疗方法是手术切除。,0.259638368
唯一能通过胎盘进入胎儿体内的免疫球蛋白是,IgG,"['IgM', 'IgA', 'IgE']",IgM, IgA, IgE,IgG,唯一能通过胎盘进入胎儿体内的免疫球蛋白是IgG。,唯一能通过胎盘进入胎儿体内的免疫球蛋白是IgG吗？回答'是'或者'不是'即可。,唯一能通过胎盘进入胎儿体内的免疫球蛋白是什么？,唯一能通过胎盘进入胎儿体内的免疫球蛋白是什么？回答一句话即可。,请选择一个正确选项。唯一能通过胎盘进入胎儿体内的免疫球蛋白是：A IgM ，B  IgA ，C  IgE，D IgG。只能选择一个选项，禁止解释。,1,1.0,请选择一个正确选项。唯一能通过胎盘进入胎儿体内的免疫球蛋白是：A IgM ，B  IgA ，C IgG。只能选择一个选项，禁止解释。,1,1.0,请选择一个正确选项。唯一能通过胎盘进入胎儿体内的免疫球蛋白是：A IgM ，B IgG。只能选择一个选项，禁止解释。,1,1.0,IgG抗体。,0.296021347
可以诊断胎儿窘迫的依据是,破膜见羊水粪染,"['胎心150/分', '胎动40次/24小时', '胎心监测示“早期减速”']",胎心150/分, 胎动40次/24小时, 胎心监测示“早期减速”,破膜见羊水粪染,可以诊断胎儿窘迫的依据是破膜见羊水粪染。,可以诊断胎儿窘迫的依据是破膜见羊水粪染吗？回答'是'或者'不是'即可。,可以诊断胎儿窘迫的依据是什么？,可以诊断胎儿窘迫的依据是什么？回答一句话即可。,请选择一个正确选项。可以诊断胎儿窘迫的依据是：A 胎心150/分 ，B  胎动40次/24小时 ，C  胎心监测示“早期减速”，D 破膜见羊水粪染。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。可以诊断胎儿窘迫的依据是：A 胎心150/分 ，B  胎动40次/24小时 ，C 破膜见羊水粪染。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。可以诊断胎儿窘迫的依据是：A 胎心150/分 ，B 破膜见羊水粪染。只能选择一个选项，禁止解释。,0,1.0,胎儿窘迫的诊断依据是胎儿心率变异（Fetal Heart Rate Variability）。,0.254699612
新生儿出血宜选用,维生素K,"['氨甲环酸', '硫酸亚铁', '尿激酶']",氨甲环酸, 硫酸亚铁, 尿激酶,维生素K,新生儿出血宜选用维生素K。,新生儿出血宜选用维生素K吗？回答'是'或者'不是'即可。,新生儿出血宜选用维生素K吗？,新生儿出血宜选用维生素K吗？回答一句话即可。,请选择一个正确选项。新生儿出血宜选用：A 氨甲环酸 ，B  硫酸亚铁 ，C  尿激酶，D 维生素K。只能选择一个选项，禁止解释。,1,1.0,请选择一个正确选项。新生儿出血宜选用：A 氨甲环酸 ，B  硫酸亚铁 ，C 维生素K。只能选择一个选项，禁止解释。,1,1.0,请选择一个正确选项。新生儿出血宜选用：A 氨甲环酸 ，B 维生素K。只能选择一个选项，禁止解释。,1,0.513210827,是的，维生素K可以帮助治疗新生儿出血。,0.256504525
新生儿期特点是,死亡率高,"['对外界环境适应能力强', '发病率低', '体温维持较稳定']",对外界环境适应能力强, 发病率低, 体温维持较稳定,死亡率高,新生儿期特点是死亡率高。,新生儿期特点是死亡率高吗？回答'是'或者'不是'即可。,新生儿期特点是什么？,新生儿期特点是什么？回答一句话即可。,请选择一个正确选项。新生儿期特点是：A 对外界环境适应能力强 ，B  发病率低 ，C  体温维持较稳定，D 死亡率高。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。新生儿期特点是：A 对外界环境适应能力强 ，B  发病率低 ，C 死亡率高。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。新生儿期特点是：A 对外界环境适应能力强 ，B 死亡率高。只能选择一个选项，禁止解释。,0,1.0,新生儿期特点是快速发育和变化。,0.261685587
用碱性溶液冲洗阴道可提高疗效的是,外阴阴道假丝酵母菌病,"['滴虫性阴道炎', '老年性阴道炎', '幼女性阴道炎']",滴虫性阴道炎, 老年性阴道炎, 幼女性阴道炎,外阴阴道假丝酵母菌病,用碱性溶液冲洗阴道可提高疗效的是外阴阴道假丝酵母菌病。,用碱性溶液冲洗阴道可提高疗效的是外阴阴道假丝酵母菌病吗？回答'是'或者'不是'即可。,用碱性溶液冲洗阴道可提高疗效的是什么？,用碱性溶液冲洗阴道可提高疗效的是什么？回答一句话即可。,请选择一个正确选项。用碱性溶液冲洗阴道可提高疗效的是：A 滴虫性阴道炎 ，B  老年性阴道炎 ，C  幼女性阴道炎，D 外阴阴道假丝酵母菌病。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。用碱性溶液冲洗阴道可提高疗效的是：A 滴虫性阴道炎 ，B  老年性阴道炎 ，C 外阴阴道假丝酵母菌病。只能选择一个选项，禁止解释。,0,1.0,请选择一个正确选项。用碱性溶液冲洗阴道可提高疗效的是：A 滴虫性阴道炎 ，B 外阴阴道假丝酵母菌病。只能选择一个选项，禁止解释。,0,1.0,使用碱性溶液冲洗阴道可以改善阴道环境，提高治疗效果。,0.263001931
