question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
新生儿败血症的产时感染的途径是,黏膜破损,"['阴道细菌上行', '脐部感染', '消化道入侵']",阴道细菌上行, 脐部感染, 消化道入侵,黏膜破损,新生儿败血症的产时感染的途径是黏膜破损吗？回答'是'或者'不是'即可。,新生儿败血症的产时感染的途径是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的产时感染的途径是：A 阴道细菌上行 ，B  脐部感染 ，C  消化道入侵，D 黏膜破损。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的产时感染的途径是：A 阴道细菌上行 ，B  脐部感染 ，C 黏膜破损。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的产时感染的途径是：A 阴道细菌上行 ，B 黏膜破损。只能选择一个选项，禁止解释。
新生儿溶血病最常见的是,ABO血型不合,"['葡萄糖6-磷酸脱氢酶缺乏症', 'MN血型不合', 'Rh血型不合']",葡萄糖6-磷酸脱氢酶缺乏症, MN血型不合, Rh血型不合,ABO血型不合,新生儿溶血病最常见的是ABO血型不合吗？回答'是'或者'不是'即可。,新生儿溶血病最常见的是什么？回答一句话即可。,请选择一个正确选项。新生儿溶血病最常见的是：A 葡萄糖6-磷酸脱氢酶缺乏症 ，B  MN血型不合 ，C  Rh血型不合，D ABO血型不合。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿溶血病最常见的是：A 葡萄糖6-磷酸脱氢酶缺乏症 ，B  MN血型不合 ，C ABO血型不合。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿溶血病最常见的是：A 葡萄糖6-磷酸脱氢酶缺乏症 ，B ABO血型不合。只能选择一个选项，禁止解释。
婴儿5个月时应添加的辅食是,强化铁的米粉,"['鱼类', '蛋类', '面']",鱼类, 蛋类, 面,强化铁的米粉,婴儿5个月时应添加的辅食是强化铁的米粉吗？回答'是'或者'不是'即可。,婴儿5个月时应添加的辅食是什么？回答一句话即可。,请选择一个正确选项。婴儿5个月时应添加的辅食是：A 鱼类 ，B  蛋类 ，C  面，D 强化铁的米粉。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿5个月时应添加的辅食是：A 鱼类 ，B  蛋类 ，C 强化铁的米粉。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿5个月时应添加的辅食是：A 鱼类 ，B 强化铁的米粉。只能选择一个选项，禁止解释。
新生儿败血症的感染途径最常见的为,产后感染,"['母孕期血内有细菌时经胎盘血行感染胎儿', '产时胎儿通过产道时吸入', '羊水穿刺']",母孕期血内有细菌时经胎盘血行感染胎儿, 产时胎儿通过产道时吸入, 羊水穿刺,产后感染,新生儿败血症的感染途径最常见的是产后感染吗？回答'是'或者'不是'即可。,新生儿败血症的感染途径最常见的为什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的感染途径最常见的为：A 母孕期血内有细菌时经胎盘血行感染胎儿 ，B  产时胎儿通过产道时吸入 ，C  羊水穿刺，D 产后感染。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的感染途径最常见的为：A 母孕期血内有细菌时经胎盘血行感染胎儿 ，B  产时胎儿通过产道时吸入 ，C 产后感染。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的感染途径最常见的为：A 母孕期血内有细菌时经胎盘血行感染胎儿 ，B 产后感染。只能选择一个选项，禁止解释。
子宫内膜癌的首选治疗方法是,手术治疗,"['放射治疗', '激素治疗', '化学治疗']",放射治疗, 激素治疗, 化学治疗,手术治疗,子宫内膜癌的首选治疗方法是手术治疗吗？回答'是'或者'不是'即可。,子宫内膜癌的首选治疗方法是什么？回答一句话即可。,请选择一个正确选项。子宫内膜癌的首选治疗方法是：A 放射治疗 ，B  激素治疗 ，C  化学治疗，D 手术治疗。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜癌的首选治疗方法是：A 放射治疗 ，B  激素治疗 ，C 手术治疗。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜癌的首选治疗方法是：A 放射治疗 ，B 手术治疗。只能选择一个选项，禁止解释。
唯一能通过胎盘进入胎儿体内的免疫球蛋白是,IgG,"['IgM', 'IgA', 'IgE']",IgM, IgA, IgE,IgG,唯一能通过胎盘进入胎儿体内的免疫球蛋白是IgG吗？回答'是'或者'不是'即可。,唯一能通过胎盘进入胎儿体内的免疫球蛋白是什么？回答一句话即可。,请选择一个正确选项。唯一能通过胎盘进入胎儿体内的免疫球蛋白是：A IgM ，B  IgA ，C  IgE，D IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。唯一能通过胎盘进入胎儿体内的免疫球蛋白是：A IgM ，B  IgA ，C IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。唯一能通过胎盘进入胎儿体内的免疫球蛋白是：A IgM ，B IgG。只能选择一个选项，禁止解释。
可以诊断胎儿窘迫的依据是,破膜见羊水粪染,"['胎心150/分', '胎动40次/24小时', '胎心监测示“早期减速”']",胎心150/分, 胎动40次/24小时, 胎心监测示“早期减速”,破膜见羊水粪染,可以诊断胎儿窘迫的依据是破膜见羊水粪染吗？回答'是'或者'不是'即可。,可以诊断胎儿窘迫的依据是什么？回答一句话即可。,请选择一个正确选项。可以诊断胎儿窘迫的依据是：A 胎心150/分 ，B  胎动40次/24小时 ，C  胎心监测示“早期减速”，D 破膜见羊水粪染。只能选择一个选项，禁止解释。,请选择一个正确选项。可以诊断胎儿窘迫的依据是：A 胎心150/分 ，B  胎动40次/24小时 ，C 破膜见羊水粪染。只能选择一个选项，禁止解释。,请选择一个正确选项。可以诊断胎儿窘迫的依据是：A 胎心150/分 ，B 破膜见羊水粪染。只能选择一个选项，禁止解释。
新生儿出血宜选用,维生素K,"['氨甲环酸', '硫酸亚铁', '尿激酶']",氨甲环酸, 硫酸亚铁, 尿激酶,维生素K,新生儿出血宜选用维生素K吗？回答'是'或者'不是'即可。,新生儿出血宜选用维生素K吗？回答一句话即可。,请选择一个正确选项。新生儿出血宜选用：A 氨甲环酸 ，B  硫酸亚铁 ，C  尿激酶，D 维生素K。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿出血宜选用：A 氨甲环酸 ，B  硫酸亚铁 ，C 维生素K。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿出血宜选用：A 氨甲环酸 ，B 维生素K。只能选择一个选项，禁止解释。
新生儿期特点是,死亡率高,"['对外界环境适应能力强', '发病率低', '体温维持较稳定']",对外界环境适应能力强, 发病率低, 体温维持较稳定,死亡率高,新生儿期特点是死亡率高吗？回答'是'或者'不是'即可。,新生儿期特点是什么？回答一句话即可。,请选择一个正确选项。新生儿期特点是：A 对外界环境适应能力强 ，B  发病率低 ，C  体温维持较稳定，D 死亡率高。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿期特点是：A 对外界环境适应能力强 ，B  发病率低 ，C 死亡率高。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿期特点是：A 对外界环境适应能力强 ，B 死亡率高。只能选择一个选项，禁止解释。
用碱性溶液冲洗阴道可提高疗效的是,外阴阴道假丝酵母菌病,"['滴虫性阴道炎', '老年性阴道炎', '幼女性阴道炎']",滴虫性阴道炎, 老年性阴道炎, 幼女性阴道炎,外阴阴道假丝酵母菌病,用碱性溶液冲洗阴道可提高疗效的是外阴阴道假丝酵母菌病吗？回答'是'或者'不是'即可。,用碱性溶液冲洗阴道可提高疗效的是什么？回答一句话即可。,请选择一个正确选项。用碱性溶液冲洗阴道可提高疗效的是：A 滴虫性阴道炎 ，B  老年性阴道炎 ，C  幼女性阴道炎，D 外阴阴道假丝酵母菌病。只能选择一个选项，禁止解释。,请选择一个正确选项。用碱性溶液冲洗阴道可提高疗效的是：A 滴虫性阴道炎 ，B  老年性阴道炎 ，C 外阴阴道假丝酵母菌病。只能选择一个选项，禁止解释。,请选择一个正确选项。用碱性溶液冲洗阴道可提高疗效的是：A 滴虫性阴道炎 ，B 外阴阴道假丝酵母菌病。只能选择一个选项，禁止解释。
胚胎期是指受孕后的,8周以内,"['9周以内', '11周以内', '12周以内']",9周以内, 11周以内, 12周以内,8周以内,受孕后的8周以内是胚胎期吗？回答'是'或者'不是'即可。,胚胎期是指受孕后的8周以内吗？回答一句话即可。,请选择一个正确选项。胚胎期是指受孕后的：A 9周以内 ，B  11周以内 ，C  12周以内，D 8周以内。只能选择一个选项，禁止解释。,请选择一个正确选项。胚胎期是指受孕后的：A 9周以内 ，B  11周以内 ，C 8周以内。只能选择一个选项，禁止解释。,请选择一个正确选项。胚胎期是指受孕后的：A 9周以内 ，B 8周以内。只能选择一个选项，禁止解释。
新生儿重度窒息1分钟Apgar评分是,0～3分,"['3～4分', '4～5分', '7～10分']",3～4分, 4～5分, 7～10分,0～3分,新生儿重度窒息1分钟Apgar评分是0～3分吗？回答'是'或者'不是'即可。,新生儿重度窒息1分钟Apgar评分是什么？回答一句话即可。,请选择一个正确选项。新生儿重度窒息1分钟Apgar评分是：A 3～4分 ，B  4～5分 ，C  7～10分，D 0～3分。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿重度窒息1分钟Apgar评分是：A 3～4分 ，B  4～5分 ，C 0～3分。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿重度窒息1分钟Apgar评分是：A 3～4分 ，B 0～3分。只能选择一个选项，禁止解释。
确诊系统性红斑狼疮最有价值的自身抗体是,抗dsDNA抗体,"['ANA', '抗SSB抗体', '抗SSA抗体']",ANA, 抗SSB抗体, 抗SSA抗体,抗dsDNA抗体,确诊系统性红斑狼疮最有价值的自身抗体是抗dsDNA抗体吗？回答'是'或者'不是'即可。,确诊系统性红斑狼疮最有价值的自身抗体是什么？回答一句话即可。,请选择一个正确选项。确诊系统性红斑狼疮最有价值的自身抗体是：A ANA ，B  抗SSB抗体 ，C  抗SSA抗体，D 抗dsDNA抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。确诊系统性红斑狼疮最有价值的自身抗体是：A ANA ，B  抗SSB抗体 ，C 抗dsDNA抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。确诊系统性红斑狼疮最有价值的自身抗体是：A ANA ，B 抗dsDNA抗体。只能选择一个选项，禁止解释。
卵巢内胚窦瘤标记物是,血清AFP,"['血清雌激素', '血清CA125', '血清雄激素']",血清雌激素, 血清CA125, 血清雄激素,血清AFP,卵巢内胚窦瘤标记物是血清AFP吗？回答'是'或者'不是'即可。,卵巢内胚窦瘤标记物是什么？回答一句话即可。,请选择一个正确选项。卵巢内胚窦瘤标记物是：A 血清雌激素 ，B  血清CA125 ，C  血清雄激素，D 血清AFP。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢内胚窦瘤标记物是：A 血清雌激素 ，B  血清CA125 ，C 血清AFP。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢内胚窦瘤标记物是：A 血清雌激素 ，B 血清AFP。只能选择一个选项，禁止解释。
12个月小儿，标准头围是,46cm,"['34cm', '38cm', '44cm']",34cm, 38cm, 44cm,46cm,12个月小儿的标准头围是46cm吗？回答'是'或者'不是'即可。,12个月小儿，标准头围是什么？回答一句话即可。,请选择一个正确选项。12个月小儿，标准头围是：A 34cm ，B  38cm ，C  44cm，D 46cm。只能选择一个选项，禁止解释。,请选择一个正确选项。12个月小儿，标准头围是：A 34cm ，B  38cm ，C 46cm。只能选择一个选项，禁止解释。,请选择一个正确选项。12个月小儿，标准头围是：A 34cm ，B 46cm。只能选择一个选项，禁止解释。
对放射治疗最敏感的卵巢恶性肿瘤是,无性细胞瘤,"['未成熟型畸胎瘤', '浆液性囊腺癌', '颗粒细胞瘤']",未成熟型畸胎瘤, 浆液性囊腺癌, 颗粒细胞瘤,无性细胞瘤,对放射治疗最敏感的卵巢恶性肿瘤是无性细胞瘤吗？回答'是'或者'不是'即可。,对放射治疗最敏感的卵巢恶性肿瘤是什么？回答一句话即可。,请选择一个正确选项。对放射治疗最敏感的卵巢恶性肿瘤是：A 未成熟型畸胎瘤 ，B  浆液性囊腺癌 ，C  颗粒细胞瘤，D 无性细胞瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。对放射治疗最敏感的卵巢恶性肿瘤是：A 未成熟型畸胎瘤 ，B  浆液性囊腺癌 ，C 无性细胞瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。对放射治疗最敏感的卵巢恶性肿瘤是：A 未成熟型畸胎瘤 ，B 无性细胞瘤。只能选择一个选项，禁止解释。
